,,,,,,,,,Platform,Google Play Store,,,,,,,
Row Labels,Average of Rating,,,,,,,,,,,,,,,,
Apple App Store,3.32,,,,,,,,Average of Rating,Column Labels,,,,,,,
Notes,3.82,,,,,,,,Row Labels,Evernote,Notion,OneNote,Grand Total,,,,
Evernote,3.62,,,,,,,,2021,2.15,3.82,3.88,2.89,,,,
Bear,3.52,,,,,,,,Jan,2.51,3.85,,2.82,,,,
Notion,3.40,,,,,,,,Feb,2.22,3.81,,2.50,,,,
OneNote,3.06,,,,,,,,Mar,2.02,3.90,,2.26,,,,
GoodNotes,2.52,,,,,,,,Apr,1.87,3.88,4.16,2.13,,,,
Google Play Store,3.32,,,,,,,,May,1.76,3.97,4.11,2.91,,,,
OneNote,4.05,,,,,,,,Jun,2.05,4.03,4.14,3.26,,,,
Notion,3.72,,,,,,,,Jul,1.96,3.84,3.79,2.88,,,,
Evernote,2.38,,,,,,,,Aug,1.77,3.81,4.07,2.62,,,,
Grand Total,3.32,,,,,,,,Sep,1.85,3.72,3.55,2.81,,,,
,,,,,,,,,Oct,2.86,3.66,3.63,3.27,,,,
,,,,,,,,,Nov,3.12,3.66,3.90,3.55,,,,
,,,,,,,,,Dec,2.76,3.66,3.85,3.41,,,,
,,,,,,,,,2022,3.06,3.27,4.02,3.60,,,,
,,,,,,,,,Jan,2.90,3.49,3.89,3.49,,,,
,,,,,,,,,Feb,2.60,3.12,3.84,3.19,,,,
,,,,,,,,,Mar,3.01,3.17,3.85,3.44,,,,
,,,,,,,,,Apr,3.36,3.02,3.94,3.59,,,,
,,,,,,,,,May,3.25,3.56,3.76,3.51,,,,
,,,,,,,,,Jun,2.96,3.40,4.06,3.62,,,,
,,,,,,,,,Jul,3.48,3.30,3.99,3.75,,,,
,,,,,,,,,Aug,3.05,3.40,4.19,3.81,,,,
,,,,,,,,,Sep,3.13,3.39,4.04,3.73,,,,
,,,,,,,,,Oct,3.26,3.09,4.20,3.79,,,,
,,,,,,,,,Nov,2.90,3.18,4.11,3.55,,,,
,,,,,,,,,Dec,3.21,3.30,4.10,3.70,,,,
,,,,,,,,,2023,2.16,3.31,4.13,3.33,,,,
,,,,,,,,,Jan,3.24,3.45,4.11,3.80,,,,
,,,,,,,,,Feb,3.03,3.35,4.20,3.77,,,,
,,,,,,,,,Mar,3.39,3.31,4.15,3.84,,,,
,,,,,,,,,Apr,3.22,3.06,4.14,3.72,,,,
,,,,,,,,,May,2.95,2.89,4.11,3.60,,,,
,,,,,,,,,Jun,2.56,2.97,4.14,3.63,,,,
,,,,,,,,,Jul,1.85,3.15,4.15,2.90,,,,
,,,,,,,,,Aug,1.87,2.62,4.03,2.98,,,,
,,,,,,,,,Sep,2.08,3.23,4.10,3.40,,,,
,,,,,,,,,Oct,1.98,3.67,4.11,3.30,,,,
,,,,,,,,,Nov,1.98,3.82,4.19,3.47,,,,
,,,,,,,,,Dec,1.34,3.79,4.12,2.53,,,,
,,,,,,,,,2024,1.70,4.04,4.13,3.32,,,,
,,,,,,,,,Jan,1.59,4.27,4.11,3.13,,,,
,,,,,,,,,Feb,1.74,4.14,4.14,3.39,,,,
,,,,,,,,,Mar,2.14,4.12,4.13,3.49,,,,
,,,,,,,,,Apr,1.95,4.08,4.10,3.50,,,,
,,,,,,,,,May,1.90,3.83,4.17,3.45,,,,
,,,,,,,,,Jun,1.92,4.12,4.13,3.65,,,,
,,,,,,,,,Jul,1.73,4.25,4.16,3.45,,,,
,,,,,,,,,Aug,1.38,4.20,4.05,2.69,,,,
,,,,,,,,,Sep,1.59,3.96,4.20,3.30,,,,
,,,,,,,,,Oct,1.74,3.91,4.13,3.46,,,,
,,,,,,,,,Nov,1.69,3.59,4.05,3.34,,,,
,,,,,,,,,Dec,1.76,3.99,4.15,3.41,,,,
,,,,,,,,,2025,1.77,4.00,4.07,3.63,,,,
,,,,,,,,,Jan,1.76,4.01,4.11,3.62,,,,
,,,,,,,,,Feb,1.72,3.95,4.17,3.72,,,,
,,,,,,,,,Mar,1.86,4.02,4.15,3.66,,,,
,,,,,,,,,Apr,1.76,3.96,4.12,3.73,,,,
,,,,,,,,,May,1.77,4.06,3.92,3.53,,,,
,,,,,,,,,Jun,1.68,3.96,3.75,3.36,,,,
,,,,,,,,,Grand Total,2.20,3.76,4.05,3.30,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,